name;overview;number_of_episodes;number_of_seasons;poster_path;genres
Storage Wars: Texas;Storage Wars: Texas is a reality television series on the A&E Network;78;3;/t3TVJoOmgxHdS5UyZThkiZMmkwk.jpg;Reality 
Hemlock Grove;One cannot quench his all-consuming thirst. The other cannot tame the beast clawing its way out. In the sleepy Pennsylvania village of Hemlock Grove, two young men struggle to accept painful truths: about family, themselves, the mystery of the White Tower - and a terrifying new threat so powerful it will turn them from predators into prey.;33;3;/sjGOYM7GTG03aWUZIFOUiFDTeoL.jpg;Mystery 
Unsupervised;Two 15-year-old best friends, Gary and Joel, they try to navigate through teenage life while also trying to do the right thing without the help of any parental supervision.;13;1;/i8m1BIJCoDi0WUAncm9PkYJbTqY.jpg;Animation Comedy
Brando: The Documentary;The life and legacy of Marlon Brando and how he changed acting.;2;1;/xVkexarhEjCRRBFDdNTHsBzNvRm.jpg;Documentary 
Shark Men;A team of world-class anglers and scientists take on one of the most challenging fish imaginable: the great white shark.;30;3;/30C6aJBY4Jpmt2TzM1JVw3JXMKQ.jpg;Documentary 
Men at Work;Men at Work is an American comedy series that airs on TBS. The series was created by Breckin Meyer and stars Danny Masterson, Michael Cassidy, Adam Busch, James Lesure and Meredith Hagner. The series premiered on May 24, 2012 at 10 pm. TBS second season premiered on April 4, 2013 with another 10 episode season.;30;3;/roh8cMRx6BJhiwNNJwxFmQ9M6Bf.jpg;Comedy 
Baseball: The Tenth Inning;The Tenth Inning tells the tumultuous story of America's national pastime from the early 1990s to the present day, introducing an unforgettable array of players, teams and fans, celebrating the game's resilience and enduring appeal, and showcasing both extraordinary accomplishments – and devastating losses and disappointments.;2;1;/5mbNtZF4WU4tpfYM6B52jKZWaTe.jpg;Documentary 
Wolfpack of Reseda;Ben March’s mundane life is transformed when he becomes convinced he’s been bitten by a werewolf loose in the suburban sprawl of Reseda.  As strange events begin to occur, Ben embraces his new “wolfman” identity wholeheartedly. He ascends at work, gets the attention of unattainable women, and becomes a leader amongst his colleagues and friends. Ben forms his very own “wolfpack,” and together they find new confidence and freedom.;8;1;/kyZMJJeDvQEy3R7aHLBMjOeOBgC.jpg;Comedy Mystery
Full Metal Jousting;A maverick group of fighters compete for top honors in the most dangerous competition in history. Far from the contrivances of the Renaissance Fair, this is authentic, full-contact jousting, with two competitors on horses charging towards each other at 30 miles an hour. Gone is the traditional armor, replaced by state-of-the-art protective gear. Each week's episode features full-contact trials and preparations that will ultimately determine the champion-king of the joust.;10;1;/cvsTHOlx6nfD3uKPVGBEcAf2puz.jpg;Reality 
The Conversation with Amanda de Cadenet;Get ready for real talk and real conversation in this new Lifetime series, executive produced by Demi Moore and British actress, Amanda de Cadenet. Each episode provides a refreshing and modern take on celebrity interviews as de Cadenet sits down with female celebrities to discuss topics universal to all women.;8;1;/56qJfPNQJ2ArTvd7XgxrTIO5pcQ.jpg;News Talk
Vietnam in HD;The firsthand experiences of thirteen Americans during the Vietnam War. The thirteen Americans retell their stories in Vietnam paired with found footage from the battlefield.;6;1;/vTb6RudIkuLt5nXhwjuVJ9yFtJI.jpg;Documentary War & Politics
Celebrity House Hunting;The series allows viewers a peek inside the lives of the rich and famous as they show off their current homes and tour more amazing ones on the market.;15;1;/64Z1XcXBF7Nhcu2sEc9OAe4IKiV.jpg;Reality 
Anger Management;Charlie is a non-traditional therapist specializing in anger management. He has a successful private practice and he performs pro bono counseling for an inmate group at a state prison. Prior to his career as a therapist, he was a major league baseball player whose career was put on the shelf for good by his own struggle with anger issues.;100;2;/vfWOzdgf9eB7IjZ9VqgXiWbxJ65.jpg;Comedy 
Snooki & JWOWW;"The real-life Jersey Shore besties Nicole ""Snooki"" Polizzi and Jenni ""JWOWW"" Farley move in together to take on their next big adventure: Adulthood!";48;4;/4ceoRn9dmW440SkRqgPOWseCnvt.jpg;Reality Drama
The Witches of Oz;The Witches of Oz follows the exploits of the grown Dorothy Gale, now a successful children's book author, as she moves from Kansas to present day New York City. Dorothy quickly learns that her popular books are based on repressed childhood memories, and that the wonders of Oz are very, very real. When the Wicked Witch of the West shows up in Times Square, Dorothy must find the inner courage to stop her.;2;1;/ApRlpEpjF6HFBChikxbsxxA1bSH.jpg;Action & Adventure Comedy Sci-Fi & Fantasy 
Riverworld;Riverworld is a television film released on the Syfy channel on April 18, 2010. Based on the Riverworld books by Philip José Farmer, the made-for-TV film is a reboot of the aborted Sci-Fi Channel Riverworld television series, of which only the pilot episode was produced.\n\nRiverworld stars Tahmoh Penikett, Laura Vandervoort, Jeananne Goossen, Alan Cumming, Mark Deklin, and Peter Wingfield. It is produced by Reunion Pictures, an award-winning Canadian-based production company. It is written by Robert Hewitt Wolfe and directed by Stuart Gillard.;2;1;/4Q1koRbQOwxwx48eYOeDhHxy97F.jpg;Drama Sci-Fi & Fantasy Action & Adventure 
Bobby Flay's Barbecue Addiction;Bobby Flay pulls out all the stops and delivers a high-impact cooking series that takes outdoor grilling to a whole new level! Surrounded by a sea of grills and abundant, flavor-packed ingredients from around the world, quintessential grill master Bobby Flay transforms a backyard into a Mecca of barbecue deliciousness. In Bobby Flay's Barbecue Addiction, the grilling maestro steps up his game--from charcoal, to smoke, to the global Q--and proves why he's truly addicted to barbecue!;41;3;/17gqLGN95JnxkJIeu1YAJqPu1QQ.jpg;Reality 
Hatfields & McCoys;It’s the true American story of a legendary family feud—one that spanned decades and nearly launched a war between Kentucky and West Virginia. The Hatfield-McCoy saga begins with Devil Anse Hatfield and Randall McCoy.. Close friends and comrades until near the end of the Civil War, they return to their neighboring homes—Hatfield in West Virginia, McCoy just across the Tug River border in Kentucky—to increasing tensions, misunderstandings and resentments that soon explode into all-out warfare between their families. As hostilities grow, friends, neighbors and outside forces join the fight, bringing the two states to the brink of another civil war.;3;1;/20sdSd2UxKb6286zA87aufliu9M.jpg;Western Drama
Key & Peele;Key & Peele is an American sketch comedy television show. It stars Keegan-Michael Key and Jordan Peele, both former cast members of MADtv. Each episode of the show consists of several pre-taped sketches starring the two actors, introduced by Key and Peele in front of a live studio audience.;53;5;/qxBLWVlKLj04LECpPNBn825ZPf7.jpg;Comedy 
Sullivan & Son;Sullivan & Son is an American comedy television series created by Rob Long and Steve Byrne that is broadcast on TBS. It stars Byrne as Steve Sullivan, who surprises his parents when he leaves his job as a corporate lawyer to take over a bar owned by his father in Pittsburgh. The series is executive-produced by Vince Vaughn, Peter Billingsley and Long, who also serves as showrunner. It premiered on July 19, 2012.;33;3;/zm5FT4BHME3mYY05oXsTRQKV01.jpg;Comedy 
Daybreak;Daybreak is the story of an everyman character, Ben Wilkins, who finds himself at the center of a global conspiracy. When Ben discovers an ancient and mysterious object called a dodecahedron, he quickly learns that he must restore it to its rightful place to avert catastrophe and allow humanity to make its next evolutionary leap forward.\n\nAlong the way, Ben faces fierce resistance from a collection of the world’s most secretive and powerful families. However, Ben is aided in his journey by a crafty underground group of allies called the Jack Boxers. Should Ben fail, the power would fall into the hands of the few and the world would plunge farther into chaos.;5;1;/gg2pPAINVfSnPo1iWRTsLp5h8Cx.jpg;Drama 
Political Animals;Former first lady and current Secretary of State Elaine Barrish Hammond try to keep her family together while simultaneously dealing with crises of the State Department and fending off the hungry DC journalist who is bent on destroying her career.;6;1;/fnFNsleo5IcUAqNjiKgixkGyxd2.jpg;Drama 
Ocean Mysteries with Jeff Corwin;Ocean Mysteries with Jeff Corwin is a 30-minute show which follows host Jeff Corwin's travels and works in conjunction with the Georgia Aquarium. Airing in 2011 on Saturday mornings on ABC TV channels. Its message of conservation, ocean research, and preserving our ocean habitats are central to each episode. While it is aired for children and family viewing on Saturday mornings, the show is also made with the classroom in mind to help teachers.;122;5;/pVfHfP9wUlTm9G0KLcPTLYE7bRW.jpg;Documentary Family
The Lizzie Bennet Diaries;"Elizabeth ""Lizzie"" Bennet is a mass communications graduate student still living at home with her parents and two sisters, the sweet, timid Jane and rebellious, party-loving Lydia. With the help of her friend Charlotte Lu, she starts a vlog series for her thesis, discussing the trials and tribulations of her daily life.";100;1;/zZ0Wm2oDgTKwZRbQaI5uoVInJfS.jpg;Comedy Drama Family 
Comedy Bang! Bang!;Based on Scott Aukerman’s popular podcast of the same name, COMEDY BANG! BANG! cleverly riffs on the well-known format of the late night talk show, infusing celebrity appearances and comedy sketches with a tinge of the surreal. In each episode, Aukerman engages his guests with unfiltered and improvisational lines of questioning, punctuated by banter and beats provided by bandleader, one-man musical mastermind Reggie Watts, to reinvent the traditional celebrity interview. Packed with character cameos, filmic shorts, sketches and games set amongst an off-beat world, COMEDY BANG! BANG! delivers thirty minutes of absurd laugh-loaded fun featuring some of the biggest names in comedy.;110;5;/5undCFoglpvKYFmu404ve9mh6on.jpg;Comedy Talk
Animal Superpowers;How can an octopus turn itself invisible in the blink of an eye? How can a sailfish outrun a speedboat? How can a snake strike prey with deadly accuracy in total darkness? Patrick Stewart introduces these elite creatures with extreme abilities to move, sense, hunt, heal and survive, while a team of scientists undertake risky missions to unlock the anatomy behind their secret superpowers.;3;1;/A2RIZswyyndHF9NeZUavTCTp208.jpg;Documentary 
Up to Speed;"Tour guide, historian and flaneur ""Speed"" Levitch travels the nation visiting those monuments that rarely make it into travel guides, from the shoe gardens of San Francisco to the luckiest subway grate in New York City.";6;1;/aX9vi1xk3h30kTnIysfyOTgzmYr.jpg;Comedy Reality
Adventures with Purpose;Richard Bangs journeys across the planet in search of ecological challenges and ecological solutions.;12;1;/zlOAFwJtzHrIqWLrLUlrF0scYhW.jpg;Documentary 
America Revealed;Based upon the BBC’s award-winning Britain From Above. America Revealed is a unique look at what makes America tick, what it takes to keeps the biggest food machine in the world going, the delicate balance that keeps our supermarkets stocked with groceries and fast food restaurants supplied with fries. How we keep America moving with its vast and complex transport systems. How we propel ourselves through energy, what maintains the constant supply of fuel and electricity to our homes and businesses and finally how we keep up with the ever changing world, the import and export infrastructure that shapes our manufacturing industry.;4;1;/qbDPLM6qLJgp0o6Y4UZnFmnsqei.jpg;Documentary 
Neverland;Raised on the streets of turn-of-the century London, orphaned Peter and his pals survive by their fearless wits as cunning young pickpockets. Now, they've been rounded up by their mentor Jimmy Hook to snatch a priceless—some believe, magical—treasure which transports them to Neverland.;2;1;/iNfcvFaCjVZkPWBcpH4faYMdEhM.jpg;Sci-Fi & Fantasy Action & Adventure
Dog with a Blog;Avery Jennings and Tyler James are step-siblings who are complete opposites. The family faces an even bigger adjustment when their new dog, Stan, can talk and also has a blog, unbeknownst to the family. Stan uses his blog to discuss the happenings in the Jennings-James household. Avery and Tyler later learn of Stan's talking ability and agree to keep it a secret from their parents.;70;3;/3MOm5Yxtm2h4c6ZtBVBhTTNpBn3.jpg;Comedy Family Drama 
Dark Matters: Twisted But True;"Dark Matters: Twisted But True is a television series featured on the Science Channel. Hosted by actor John Noble of Fringe and Lord of the Rings, the show takes the viewer inside the laboratory to profile strange science and expose some of history's most bizarre experiments. This show uses narration and reenactments to portray the stories in this show. A new season of episodes, under the title Dark Matters: Extra Twisted, premiered on January 23, 2013. The episodes revisit previous stories with ""deeper insight and new information.""";19;2;/fz0QmvCqLGIgpTKonMDHASbRqsL.jpg;Documentary Reality
The Bible;The story of God's creation of the Earth and the landmark events leading up to the Crucifixion of Jesus Christ.;5;1;/cqGupIDrTHosdGTm5N0V4qMrZyf.jpg;Drama 
Billy on the Street;Comedian Billy Eichner, unfiltered and unapologetic, hits the streets of New York City to test unsuspecting strangers on their knowledge of music and pop culture. With microphone in hand and money in tow, Eichner gives contestants the chance to win cash by answering a series of hilarious and spontaneous questions. The catch? The final round is subjective - Don't agree with Billy? You lose.;60;6;/kmWs0EjvFo1jZiAxndBt7tMxvTu.jpg;Comedy 
Dating Rules from My Future Self;A girl gets romantic advice from herself ten years in the future via text message.;15;2;/ckgSbyiKfXItDQJb9v4s4SNX9V4.jpg;Comedy 
The Girl's Guide to Depravity;The Girl's Guide to Depravity is a comedy/drama series based on Heather Rutman's popular book and blog of the same name. The show debuted in the US on Cinemax in February of 2012, and has aired internationally in Latin America, Spain, Canada, and Japan.;26;2;/wKXlzUsocoSm3FNNoSXlXMed6fc.jpg;Comedy 
Longmire;A Wyoming sheriff rebuilds his life and career following the death of his wife. Based on the “Walt Longmire” series of mystery novels written by best-selling author Craig Johnson.;63;6;/yrdt5lscyJ5j5GSbhl99x3SRN66.jpg;Western Crime Drama 
Burning Love;Burning Love is a scripted comedy series which is a web spoof of the television shows The Bachelor, The Bachelorette and Bachelor Pad. Depending on the season, the show either follows a man or a woman who is looking for the perfect mate from a pool of contestants, or has contestants living together in a mansion competing for a cash prize. Ben Stiller is executive co-producer.\n\nSeason 1 showcases fireman Mark Orlando as the bachelor. Season 2 of the series, which premiered in February 2013, stars June Diane Raphael reprising her role as season 1 contestant Julie, now the bachelorette given the chance to find the perfect man. Season 3 also premiered in 2013 and starred former contestants from Seasons 1 and 2 competing for a $900 prize rather than for love.;42;3;/zVSpYSuACSvqLDBFL35ZmlWDzQU.jpg;Comedy 
The Booth at the End;A mysterious man sits in the booth at the end who people make a deal with to get what they want. They do the task or they don't - that is up to them, but there are no rule changes.;10;2;/dG15J9859DiWjiv4Luov4C4SULe.jpg;Drama 
DreamWorks Dragons;"From the creators of ""How to Train Your Dragon"" comes a new series that takes Hiccup and Toothless to the edge of adventure.";40;2;/fDzGH0jGhJMMxbgsb9JiC7Ep4uk.jpg;Animation Action & Adventure Sci-Fi & Fantasy Comedy
Hotel Hell;Chef Gordon Ramsay, along with a team of hospitality experts, travels the country applying his high standards to struggling hotels, motels, and bed and breakfasts in an effort to get the owners and staff to turn their establishments around. Ramsay's signature no-holds-barred style will make it clear to those he coaches that there is no place for dirty rooms or incompetent staff if one hopes to remain in business.;22;3;/7k88tKxgDpMuJWx7RDIBg5bk5N0.jpg;Documentary 
WWE Legends' House;What do you get when eight WWE Legends live under one roof? Find out in Legends' House.;10;1;/laA5hkWSaq0czJWi31net7cLldi.jpg;Reality 
The Neighbors;When the Weavers move to a gated community in New Jersey, they discover that the entire neighborhood is comprised of aliens from the planet Zabvron. But as the Weavers and the aliens face the struggles of everyday life together, they discover that some things -- the ups and downs of marriage, the desire to be a good parent and raise a happy family -- are universal. Intergalactic, even.;44;2;/byYckInWgH6fjSc6HVg2CZapeNK.jpg;Comedy Sci-Fi & Fantasy Family 
Nashville;Rayna Jaymes and Juliette Barnes face personal and professional challenges as they navigate their paths as artists and individuals. Surrounding them, and often complicating their lives, are their family, friends and, in some cases, lovers, as well as the up-and-coming performers and songwriters trying to get ahead in the business.;124;6;/roRHLyfhx231KKOibZ9BCB3uIKz.jpg;Drama 
Beauty and the Beast;Detective Catherine Chandler is a smart, no-nonsense homicide detective. When she was a teenager, she witnessed the murder of her mother at the hands of two gunmen and herself was saved by someone – or something. Years have passed and while investigating a murder, Catherine discovers a clue that leads her to Vincent Keller, who was reportedly killed in 2002. Catherine learns that Vincent is actually still alive and that it was he who saved her many years before. For mysterious reasons that have forced him to live outside of traditional society, Vincent has been in hiding for the past 10 years to guard his secret – when he is enraged, he becomes a terrifying beast, unable to control his super-strength and heightened senses.;70;4;/6rZ2I1xRemLORb65spepVmsvnf7.jpg;Drama Sci-Fi & Fantasy
The Half Hour;The Half Hour shines a spotlight on some of the funniest and most unique voices in stand-up comedy. You'll never guess how long each episode is.;74;5;/ciZlDJmfIpWTUUcqJDHHHbEYJfa.jpg;Comedy 
Hip Hop Squares;"Hip Hop Squares is an American television game show hosted by New York radio personality Peter Rosenberg, which debuted on MTV2 on May 22, 2012. The show's format is similar to Hollywood Squares, but with a more ""urban"" theme. The show is taped in Brooklyn, New York.";1;1;/k5jqYFQrrF6DtrJ2Oa7z5U3q1ns.jpg;Comedy 
The Mindy Project;Obstetrician/gynecologist Mindy Lahiri tries to balance her personal and professional life, surrounded by quirky co-workers in a small medical practice in New York City.;117;6;/5YFui8dtEGUglm6pHWbBzD01c0t.jpg;Comedy 
She's Living for This;She’s Living for This is an American television comedy and variety series created by Keith Levy and Josh Rosenzweig. The show currently airs on LGBT cable network here!. The series stars drag performer Sherry Vine. The series premiered on February 24, 2012.\n\nhere! produced six episodes for season one. The network announced a second season of the show to begin production in the summer 2012 for a fall 2012 premiere.\n\nIn 2012 it was announced that episodes of She's Living for This would be made available on online video service Hulu.;12;2;/x9fufy4d1eNDNR6G3M7Xn7AImyl.jpg;Comedy 
Wander Over Yonder;The adventures of Wander, an eternally-optimistic intergalactic traveler and constant do-gooder, and his quick-tempered but loyal steed and best friend, Sylvia.  The friendliest face in outer space, Wander journeys across the galaxies to spread good cheer and to help anyone he can — much to his overly pragmatic stallion’s chagrin. Their fun-loving escapades often lead them to clash with the evil villain Lord Hater and his army of Watchdogs, who travel from planet to planet trying to make hate the order of the day. Together, the best friends travel through the cosmos, happening upon one freewheeling adventure after another and making new friends and foes.;79;2;/ow88KmFUXMb6S4EKOWyTBy8ta7O.jpg;Family Comedy Sci-Fi & Fantasy Animation
On Freddie Roach;Chronicling the daily activities of celebrated boxing trainer Freddie Roach as he works with elite fighters at his Wild Card Boxing Club in Hollywood, California and wages ongoing battles with Parkinson's disease.;6;1;/9eMWmVwuFTv4A4ggZMeRxMghAnV.jpg;Documentary 
Sync;Charlie Cooper is a special agent of the future - the mind of a man running entirely on a computer, able to transfer his consciousness to bio-mechanical bodies at will. But when a computer virus corrupts his system, he must face one of his greatest challenges yet: mortality.;12;1;/uecYCe5QFmopHnYgcEwpxQ9kN7y.jpg;Action & Adventure Sci-Fi & Fantasy
Long Island Medium;Theresa Caputo is an average mom from Long Island in every way except one: she talks to the dead. Theresa spends her days with her loving family and helping individuals connect to the spirits of their departed loved ones. This is not her job…this is her life.;125;12;/7jUv9DU6vglx0D7qmLYyEC9N1bY.jpg;Reality 
The Bannen Way;Neal Bannen, a third generation criminal, wants to get out of the con man lifestyle he's been living.;16;1;/zbAeJZ0QJLRRRhWcWcbIxSMKNlX.jpg;Action & Adventure Comedy
Breaking Amish;Temptations abound as a group of young Amish explore life beyond their Amish culture. Ultimately, they will make the biggest decision of their lives – to remain Amish/Mennonite or become English and face the consequences of being shunned by their family and friends.;41;4;/74wVDELZwZAHLS5DAEuGItM82YX.jpg;Documentary 
Marvin Marvin;Marvin Marvin is an American science fiction slapstick comedy television series that aired from November 24, 2012 to April 27, 2013. The series was set to premiere on Nickelodeon in 2013, but was pushed forward to November 24, 2012. It stars Lucas Cruikshank as the title character Marvin Marvin, an alien teenage boy adjusting to human life. On June 26, 2013, Cruikshank said that he had left Nickelodeon.;20;1;/ntdpOSH5WKIAsAO7lo4tB9eNVkQ.jpg;Sci-Fi & Fantasy Comedy
Amish Mafia;Untrusting of outside law enforcement, some Amish in Lancaster County, PA have for many years regularly turned to a small organized group of men for protection and justice. The 2006 School shootings in Lancaster County during which five young Amish girls were killed and five more seriously injured by a non-Amish milk truck driver brought to the nation's attention the vulnerabilities of the Amish community, and their need for continued protection.;30;4;/sgO223G4u8Bt0E8mg9wfJP6U1Ny.jpg;Reality Documentary
Spartacus;Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment.;33;3;/kAUI0oOWZbGAQMmv7WM6scvoE34.jpg;Drama 
The Taste;In this exhilarating cooking competition series, The Taste puts 16 culinary competitors -- who range from home cooks and professional chefs to everything in between -- in the kitchen, where four of the world’s most notable masters of the food world judge their creations based on a blind taste. In this pressure-packed contest, a single spoonful can catapult a contender to the top or send them packing.;23;3;/frptYNOuELkkDWiqWQk7wbbUj5m.jpg;Reality 
Oliver Stone's Untold History of the United States;Oliver Stone's re-examination of under-reported events in American history.;10;1;/fBln8eob2wYQ98GftMBaU69OGgX.jpg;Documentary War & Politics
Legit;Jim Jefferies, an edgy, foul-mouthed stand-up comedian from Australia, in his mid-30s and living in LA, is endeavoring to make his life and career more “legit,” only to find it a difficult, uncomfortable uphill struggle every step of the way. Jim is encouraged in his quest by Steve, his neurotic best friend and roommate, a cyber-law library salesman who struggles to stay on his feet in the wake of a divorce, and Steve’s brother Billy, who suffers from advanced staged Muscular Dystrophy and is confined to a wheelchair.;26;2;/4wKawZKCcWpQYJXDB5XBSMRCWDm.jpg;Comedy 
The Vietnam War;An immersive 360-degree narrative telling the epic story of the Vietnam War as it has never before been told on film. Featuring testimony from nearly 80 witnesses, including many Americans who fought in the war and others who opposed it, as well as Vietnamese combatants and civilians from both the winning and losing sides.;10;1;/tKt4lYTA4YmfBUH5Vtd7qqgqGBW.jpg;Documentary War & Politics
Out There;Chronicling the coming-of-age misadventures of socially awkward Chad, his little brother Jay and his best friend, Chris. Living in the small town of Holford, the boys wander its surreal, bleak landscape waiting out their last few years of adolescence. Along the way, viewers meet Chad's conservative parents, Wayne and Rose, as well as Chris's single mother, Joanie and her disastrous boyfriend, Terry. They also meet the object of Chad's affection, Sharla. The series confronts the perils of youth including puberty, first loves and social ostracism, while exploring that terrifying limbo between childhood and adulthood when fragile young personalities form and re-form. Relive the agony and ecstasy of those special times as Chad and Chris try to navigate life... out there.;10;1;/jZCDG8SaEJwuFuRpM2dk5cvy5td.jpg;Animation Comedy Drama 
Tyler Perry's The Haves and the Have Nots;Follow the complicated dynamic between the rich and powerful Cryer family and the hired help who work in their opulent Savannah, Georgia, mansion.;198;8;/bwQchLBTtu0lKLjmY7VJ7f3GfEi.jpg;Soap Drama
Life on Fire;A close up look at volcanoes, providing viewers with a never seen before look at their effect on the environment around them. Each episode paints survival stories around different volcanoes. From the dark abyss to pristine snow-capped peaks, spectacular scenery provides the backdrop for the extraordinary animals and plants that have learned to juggle with fire.;6;1;/1ZlEAnaOX25QROj2ywRyXCZirRG.jpg;Documentary 
Sabrina: Secrets of a Teenage Witch;Sabrina: Secrets of a Teenage Witch is an American animated television series on Hub Network based on the Archie Comics character Sabrina the Teenage Witch. The series is developed by Pamela Hickey and Dennys McCoy and was acquired by Hub Network on October 1, 2012. The series was originally intended for a summer 2013 release but has since been pushed out to fall 2013.;26;1;/hLr90mN4cPBGadvd5ofZtWIKAIa.jpg;Family Animation Comedy Action & Adventure
Built;Built is an American reality television series on the Style Network that premiered on January 28, 2013. Built follows a Manhattan-based home decor and construction company that is staffed with all male models who also have experience as being handymen.;10;1;/gnGVkBtLyeCQDgRRtKOzZO8EP6s.jpg;Reality 
The Americans;Set during the Cold War period in the 1980s, The Americans is the story of Elizabeth and Philip Jennings, two Soviet KGB officers posing as an American married couple in the suburbs of Washington D.C. and their neighbor, Stan Beeman, an FBI Counterintelligence agent.;75;6;/lD4gTLrI81Crs6CDwwjQrnkJrUm.jpg;Crime Drama
Top of the Lake;A woman haunted by her past, Detective Robin Griffin, investigates complex and unsettling cases.;13;2;/wBy1R8JogtLZNyRJithLksrl9AB.jpg;Crime Drama Mystery 
Lauren;When a soldier reports an assault, she is forced to choose between what she loves and what's right.;15;2;/oKIVG82gjHz1JaYkn2TQb10G72a.jpg;Drama 
Jack in a Box;Jack was a mild-mannered young man with a BFA in acting and no life skills. He took a job at a theater box office because it didn't involve heavy lifting, wearing a blazer or using Excel. A few years and thousands of customers later, Jack finds himself less mild-mannered and less young than ever before. Watch Jack try to manage his anger while navigating an insular universe where everyone is even more unstable than he is. Like all caged animals, he is going to throw his sh*t at you sooner or later... but first he's going to eat a cupcake and take a phone call from his mom. Service with a smirk, that's all you can ask for.;31;4;/6u9WevvuROGyoiL2ZqwOdNTguZG.jpg;Comedy 
Randy Cunningham: 9th Grade Ninja;Randy Cunningham: 9th Grade Ninja is an American animated television series created by Jed Elinoff and Scott Thomas for Disney XD. It is produced by Titmouse, Inc. and Boulder Media Limited. Many of the character designs were supplied by Jhonen Vasquez, the creator of Invader Zim. The series premiered on September 17, 2012.;100;2;/uy864Z278ijIfCxQGmPMSp6eKkP.jpg;Action & Adventure Animation Comedy Sci-Fi & Fantasy
The Link;The Link is a documentary on National Geographic Channel, hosted by Josh Klein, that examines the history and advances leading up to a given modern technology, on each episode.;5;1;/42k3dijzusFXWbIna7uGdMKzAl.jpg;Documentary 
Moguls & Movie Stars: A History of Hollywood;Each installment focuses on a different era of American movie history, from the invention of the first moving pictures to the revolutionary, cutting-edge films of the 1960s.;7;1;/hZuISJ2UqT9eEYn4doiBi77w5JB.jpg;Documentary 
Rectify;After 19 years on Death Row for the rape and murder of his teenage girlfriend, Daniel Holden is going home. His conviction has been vacated due to new DNA evidence. Now he has to return to a world he no longer knows and his reentry into the outside world may be as unforgiving as prison. Daniel is haunted by the past, dogged by the present, and uncertain of the future. As he struggles to adapt to his new life, his homecoming reignites the fears of a small town and threatens to shatter his family’s fragile peace. Daniel’s alleged crime divided a community. Will his freedom tear it in half?;30;4;/tm9nQe9165cyjnTz8NB50izwcpJ.jpg;Drama 
Bates Motel;"A ""contemporary prequel"" to the 1960 film Psycho, depicting the life of Norman Bates and his mother Norma prior to the events portrayed in Hitchcock's film, albeit in a different fictional town and in a modern setting. The series begins after the death of Norma's husband, when she purchases a motel located in a coastal Oregon town so she and Norman can start a new life.";50;5;/xXKcfZE7ulYxgjjYv51s0zDG69s.jpg;Drama Crime Mystery 
The Jeselnik Offensive;The Jeselnik Offensive is an American late-night television program that airs on Comedy Central. It is hosted by stand-up comedian Anthony Jeselnik, who extends his onstage character into weekly, topical humor with a sociopathic, dark twist. The show primarily consists of a monologue and two panelists who join Jeselnik in adding a humorous take on shocking, lurid news stories.\n\nThe series premiered February 19, 2013, on Comedy Central. It was renewed for a second season on April 26, 2013, and aired July 9, 2013.;18;2;/clDYMUXIdtmUyPnltpnVbp0pVaG.jpg;Comedy 
The Fosters;Stef Foster, a dedicated police officer, and her partner Lena Adams, a school vice principal, have built a close-knit, loving family with Stef's biological son from a previous marriage, Brandon, and their adopted twins, Mariana and Jesus. Their lives are disrupted in unexpected ways when Lena meets Callie, a hardened teen with an abusive past who has spent her life in and out of foster homes. Lena and Stef welcome Callie and her brother, Jude, into their home thinking it's just for a few weeks, until a more permanent placement can be found. But life has something else in store for the Fosters.;104;5;/t431fo8wxgRJfzVu99de703k5Jc.jpg;Drama 
Bad Samaritans;Bad Samaritans is an American comedy series produced by Walt Becker, Kelly Hayes, and Ross Putman. It premiered on Netflix on March 31, 2013.;5;1;/mZB3hN5TYCrwEq9pjQFGXrR4x01.jpg;Comedy 
Disney Channel Games;Disney Channel stars from around the globe come together to compete in the third annual Disney Channel Games.  Representing 15 countries, the stars are divided into four teams -- Comets, Cyclones, Lightning and Inferno.  A Team Captain is selected and each team competes in the action-packed, comedic games.  Although the games are colorful, larger-than-life and great fun, the competition is real and the competitors are determined to win the Disney Channel Games Cup.  Includes concert performances by pop sensations Miley Cyrus, Jonas Brothers, The Cheetah Girls, Demi Lovato and Jordan Pruitt.;5;1;/vs98ytaHNiSfHLohHA4zEdnAyJm.jpg;Kids Family
The Originals;"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.";92;5;/2llbXc2BOkLkBGgcNJCRbrWedUO.jpg;Sci-Fi & Fantasy Drama Mystery 
Fast N' Loud;Motor mastermind Richard Rawlings and mechanical prodigy Aaron Kaufman search for forgotten and neglected vintage cars. They need big projects and big profits to keep the doors open at Gas Monkey Garage in Dallas, TX.;133;13;/976AyeDT1isz2uAnYuQrjRkS05D.jpg;Reality 
Mickey Mouse;In this series of cartoon shorts, Mickey Mouse finds himself in silly situations all around the world! From New York to Paris to Tokyo, Mickey experiences new adventures with his friends!;94;5;/aAJ5T2Ab28vbbP9s6wWqdtK3arQ.jpg;Animation Kids
